id	player	season	label	trait	question	preview	verdict	priority
adrian-dantley-1984-ball-stopper	Adrian Dantley	1984	1983-84	ball-stopper	Was 1984 Adrian Dantley a Ball Stopper?	1984 ADRIAN DANTLEY · BALL STOPPER?	qualifies	35
adrian-dantley-1984-rim-pressurer	Adrian Dantley	1984	1983-84	rim-pressurer	Was 1984 Adrian Dantley a Rim Pressurer?	1984 ADRIAN DANTLEY · RIM PRESSURER?	qualifies	35
adrian-dantley-1984-team-defender	Adrian Dantley	1984	1983-84	team-defender	Was 1984 Adrian Dantley an elite Team Defender?	1984 ADRIAN DANTLEY · TEAM DEFENDER?	does_not_qualify	35
al-horford-2018-team-defender	Al Horford	2018	2017-18	team-defender	Was 2018 Horford a quietly elite team defender?	2018 HORFORD · QUIETLY ELITE?		86
alex-english-1983-off-ball-scorer	Alex English	1983	1982-83	off-ball-scorer	Was 1983 Alex English an elite Off-Ball Scorer?	1983 ALEX ENGLISH · OFF-BALL SCORER?	qualifies	35
alex-english-1983-team-defender	Alex English	1983	1982-83	team-defender	Was 1983 Alex English an elite Team Defender?	1983 ALEX ENGLISH · TEAM DEFENDER?	does_not_qualify	35
alex-english-1983-tough-shot-maker	Alex English	1983	1982-83	tough-shot-maker	Was 1983 Alex English an elite Tough Shot Maker?	1983 ALEX ENGLISH · TOUGH SHOT MAKER?	qualifies	35
allen-iverson-2001-rim-pressurer	Allen Iverson	2001	2000-01	rim-pressurer	Was 2001 Allen Iverson a Rim Pressurer?	2001 ALLEN IVERSON · RIM PRESSURER?	qualifies	35
alonzo-mourning-1999-championship-number-one	Alonzo Mourning	1999	1998-99	championship-number-one	Could 1999 Alonzo Mourning have been the #1 on a championship team?	1999 ALONZO MOURNING · CHAMPIONSHIP #1?	qualifies	35
alonzo-mourning-1999-playmaker	Alonzo Mourning	1999	1998-99	playmaker	Was 1999 Alonzo Mourning an elite Playmaker?	1999 ALONZO MOURNING · PLAYMAKER?	does_not_qualify	35
alonzo-mourning-1999-rim-protector	Alonzo Mourning	1999	1998-99	rim-protector	Was 1999 Alonzo Mourning an elite Rim Protector?	1999 ALONZO MOURNING · RIM PROTECTOR?	qualifies	35
alvin-robertson-1986-iso-defender	Alvin Robertson	1986	1985-86	iso-defender	Was 1986 Alvin Robertson an elite Iso Defender?	1986 ALVIN ROBERTSON · ISO DEFENDER?	qualifies	35
alvin-robertson-1986-team-defender	Alvin Robertson	1986	1985-86	team-defender	Was 1986 Alvin Robertson an elite Team Defender?	1986 ALVIN ROBERTSON · TEAM DEFENDER?	qualifies	35
alvin-robertson-1986-three-point-shooter	Alvin Robertson	1986	1985-86	three-point-shooter	Was 1986 Alvin Robertson a Three-Point Shooter?	1986 ALVIN ROBERTSON · THREE-POINT SHOOTER?	does_not_qualify	35
amar-e-stoudemire-2005-rim-pressurer	Amar'e Stoudemire	2005	2004-05	rim-pressurer	Was 2005 Amar'e Stoudemire a Rim Pressurer?	2005 AMAR'E STOUDEMIRE · RIM PRESSURER?	qualifies	35
amar-e-stoudemire-2005-team-defender	Amar'e Stoudemire	2005	2004-05	team-defender	Was 2005 Amar'e Stoudemire an elite Team Defender?	2005 AMAR'E STOUDEMIRE · TEAM DEFENDER?	does_not_qualify	35
amar-e-stoudemire-2005-tough-shot-maker	Amar'e Stoudemire	2005	2004-05	tough-shot-maker	Was 2005 Amar'e Stoudemire an elite Tough Shot Maker?	2005 AMAR'E STOUDEMIRE · TOUGH SHOT MAKER?	qualifies	35
andre-drummond-2013-stat-padder	Andre Drummond	2013	2012-13	stat-padder	Was 2013 Andre Drummond a Stat Padder?	2013 ANDRE DRUMMOND · STAT PADDER?	qualifies	45
andre-drummond-2014-stat-padder	Andre Drummond	2014	2013-14	stat-padder	Was 2014 Andre Drummond a Stat Padder?	2014 ANDRE DRUMMOND · STAT PADDER?	qualifies	45
andre-drummond-2015-stat-padder	Andre Drummond	2015	2014-15	stat-padder	Was 2015 Andre Drummond a Stat Padder?	2015 ANDRE DRUMMOND · STAT PADDER?	qualifies	45
andre-drummond-2016-stat-padder	Andre Drummond	2016	2015-16	stat-padder	Was 2016 Andre Drummond a Stat Padder?	2016 ANDRE DRUMMOND · STAT PADDER?	qualifies	45
andre-drummond-2017-stat-padder	Andre Drummond	2017	2016-17	stat-padder	Was 2017 Andre Drummond a Stat Padder?	2017 ANDRE DRUMMOND · STAT PADDER?	qualifies	45
andre-drummond-2018-stat-padder	Andre Drummond	2018	2017-18	stat-padder	Was 2018 Andre Drummond a Stat Padder?	2018 ANDRE DRUMMOND · STAT PADDER?	qualifies	45
andre-drummond-2019-stat-padder	Andre Drummond	2019	2018-19	stat-padder	Was 2019 Andre Drummond a Stat Padder?	2019 ANDRE DRUMMOND · STAT PADDER?	qualifies	45
andre-drummond-2020-stat-padder	Andre Drummond	2020	2019-20	stat-padder	Was 2020 Andre Drummond a Stat Padder?	2020 ANDRE DRUMMOND · STAT PADDER?	qualifies	45
andre-iguodala-2015-championship-number-one	Andre Iguodala	2015	2014-15	championship-number-one	Could 2015 Andre Iguodala have been the #1 on a championship team?	2015 ANDRE IGUODALA · CHAMPIONSHIP #1?	qualifies	25
anfernee-hardaway-1996-championship-number-one	Anfernee Hardaway	1996	1995-96	championship-number-one	Could 1996 Anfernee Hardaway have been the #1 on a championship team?	1996 ANFERNEE HARDAWAY · CHAMPIONSHIP #1?	qualifies	35
anfernee-hardaway-1996-playmaker	Anfernee Hardaway	1996	1995-96	playmaker	Was 1996 Anfernee Hardaway an elite Playmaker?	1996 ANFERNEE HARDAWAY · PLAYMAKER?	qualifies	35
anfernee-hardaway-1996-rim-pressurer	Anfernee Hardaway	1996	1995-96	rim-pressurer	Was 1996 Anfernee Hardaway a Rim Pressurer?	1996 ANFERNEE HARDAWAY · RIM PRESSURER?	qualifies	35
anthony-davis-2015-championship-number-one	Anthony Davis	2015	2014-15	championship-number-one	Could 2015 Anthony Davis have been the #1 on a championship team?	2015 ANTHONY DAVIS · CHAMPIONSHIP #1?	qualifies	35
anthony-davis-2015-playmaker	Anthony Davis	2015	2014-15	playmaker	Was 2015 Anthony Davis an elite Playmaker?	2015 ANTHONY DAVIS · PLAYMAKER?	does_not_qualify	35
anthony-davis-2015-rim-protector	Anthony Davis	2015	2014-15	rim-protector	Was 2015 Anthony Davis an elite Rim Protector?	2015 ANTHONY DAVIS · RIM PROTECTOR?	qualifies	35
anthony-davis-2020-rim-protector	Anthony Davis	2020	2019-20	rim-protector	Was 2020 AD an elite rim protector?	2020 AD · ELITE RIM PROTECTOR?		50
anthony-edwards-2024-tough-shot-maker	Anthony Edwards	2024	2023-24	tough-shot-maker	Was 2024 Anthony Edwards an elite Tough Shot Maker?	2024 ANTHONY EDWARDS · TOUGH SHOT MAKER?	qualifies	35
artis-gilmore-1978-off-ball-scorer	Artis Gilmore	1978	1977-78	off-ball-scorer	Was 1978 Artis Gilmore an elite Off-Ball Scorer?	1978 ARTIS GILMORE · OFF-BALL SCORER?	qualifies	35
artis-gilmore-1978-rim-protector	Artis Gilmore	1978	1977-78	rim-protector	Was 1978 Artis Gilmore an elite Rim Protector?	1978 ARTIS GILMORE · RIM PROTECTOR?	qualifies	35
artis-gilmore-1978-team-defender	Artis Gilmore	1978	1977-78	team-defender	Was 1978 Artis Gilmore an elite Team Defender?	1978 ARTIS GILMORE · TEAM DEFENDER?	qualifies	35
arvydas-sabonis-1996-playmaker	Arvydas Sabonis	1996	1995-96	playmaker	Was 1996 Arvydas Sabonis an elite Playmaker?	1996 ARVYDAS SABONIS · PLAYMAKER?	qualifies	35
arvydas-sabonis-1996-rim-protector	Arvydas Sabonis	1996	1995-96	rim-protector	Was 1996 Arvydas Sabonis an elite Rim Protector?	1996 ARVYDAS SABONIS · RIM PROTECTOR?	qualifies	35
arvydas-sabonis-1996-team-defender	Arvydas Sabonis	1996	1995-96	team-defender	Was 1996 Arvydas Sabonis an elite Team Defender?	1996 ARVYDAS SABONIS · TEAM DEFENDER?	qualifies	35
bam-adebayo-2022-switchable-defender	Bam Adebayo	2022	2021-22	switchable-defender	Could 2022 Bam switch onto guards and hold up?	2022 BAM · SWITCH ONTO GUARDS?		90
bam-adebayo-2022-team-defender	Bam Adebayo	2022	2021-22	team-defender	Was 2022 Bam an elite defensive quarterback?	2022 BAM · DEFENSIVE QUARTERBACK?		88
baron-davis-2007-playmaker	Baron Davis	2007	2006-07	playmaker	Was 2007 Baron Davis an elite Playmaker?	2007 BARON DAVIS · PLAYMAKER?	qualifies	35
baron-davis-2007-rim-pressurer	Baron Davis	2007	2006-07	rim-pressurer	Was 2007 Baron Davis a Rim Pressurer?	2007 BARON DAVIS · RIM PRESSURER?	qualifies	35
baron-davis-2007-tough-shot-maker	Baron Davis	2007	2006-07	tough-shot-maker	Was 2007 Baron Davis an elite Tough Shot Maker?	2007 BARON DAVIS · TOUGH SHOT MAKER?	qualifies	35
ben-simmons-2021-clutch	Ben Simmons	2021	2020-21	clutch	Was 2021 Ben Simmons clutch?	2021 SIMMONS · CLUTCH?	does_not_qualify	94
ben-simmons-2021-switchable-defender	Ben Simmons	2021	2020-21	switchable-defender	Could 2021 Ben Simmons really guard 1 through 5?	2021 SIMMONS · GUARD 1 THROUGH 5?	qualifies	92
ben-wallace-2004-championship-number-one	Ben Wallace	2004	2003-04	championship-number-one	Could 2004 Ben Wallace have been the #1 on a championship team?	2004 BEN WALLACE · CHAMPIONSHIP #1?	does_not_qualify	35
ben-wallace-2004-iso-defender	Ben Wallace	2004	2003-04	iso-defender	Was 2004 Ben Wallace an elite Iso Defender?	2004 BEN WALLACE · ISO DEFENDER?	qualifies	35
ben-wallace-2004-rim-protector	Ben Wallace	2004	2003-04	rim-protector	Was 2004 Big Ben an elite rim protector?	2004 BIG BEN · ELITE RIM PROTECTOR?	qualifies	35
